,Player_ID,Name,YrStart,YrEnd,Pos,Height,Weight,Birth_date,College
1046,downist01,Steve Downing,1974,1975,C,6-8,225,"September 9, 1950",Indiana University
1047,doyleda01,Danny Doyle,1963,1963,F,6-8,200,"February 6, 1940",Belmont Abbey College
1048,doylemi01,Milton Doyle,2018,2018,G,6-4,185,"October 31, 1993",Loyola University of Chicago
1049,doziepj01,PJ Dozier,2018,2018,G,6-7,201,"October 25, 1996",University of South Carolina
1050,doziete01,Terry Dozier,1990,1990,F,6-9,210,"June 29, 1966",University of South Carolina
1051,dragigo01,Goran Dragic,2009,2018,G,6-3,190,"May 6, 1986",
1052,dragizo01,Zoran Dragic,2015,2015,G-F,6-5,200,"June 22, 1989",
1053,dreilgr01,Greg Dreiling,1987,1997,C,7-1,250,"November 7, 1962",University of Kansas
1054,drewbr01,Bryce Drew,1999,2004,G,6-2,185,"September 21, 1974",Valparaiso University
1055,drewjo01,John Drew,1975,1985,F-G,6-6,205,"September 30, 1954",Gardner-Webb University
1056,drewla01,Larry Drew,1981,1991,G,6-1,170,"April 2, 1958",University of Missouri
1057,drewla02,Larry Drew,2015,2018,G,6-2,180,"March 5, 1990","University of California, Los Angeles"
1058,drexlcl01,Clyde Drexler,1984,1998,G,6-7,210,"June 22, 1962",University of Houston
1059,driggna01,Nate Driggers,1997,1997,G,6-5,215,"October 12, 1973",University of Montevallo
1060,driscte01,Terry Driscoll,1971,1975,F,6-7,215,"August 28, 1947",Boston College
1061,drobnpr01,Predrag Drobnjak,2002,2005,C,6-11,270,"October 27, 1975",
1062,drollra01,Ralph Drollinger,1981,1981,C,7-2,250,"April 20, 1954","University of California, Los Angeles"
1063,drumman01,Andre Drummond,2013,2018,C,6-11,279,"August 10, 1993",University of Connecticut
1064,duckedi01,Dick Duckett,1958,1958,G,6-1,185,"March 25, 1933",St. John's University
1065,duckwke01,Kevin Duckworth,1987,1997,C,7-0,275,"April 1, 1964",Eastern Illinois University
1066,dudlech01,Charles Dudley,1973,1979,G,6-2,180,"March 5, 1950",University of Washington
1067,dudlech02,Chris Dudley,1988,2003,C,6-11,235,"February 22, 1965",Yale University
1068,dudleja01,Jared Dudley,2008,2018,F-G,6-7,225,"July 10, 1985",Boston College
1069,duerote01,Terry Duerod,1980,1983,G,6-2,180,"July 29, 1956",University of Detroit Mercy
1070,duffybo01,Bob Duffy,1947,1947,F,6-4,175,"July 5, 1922",Tulane University
1071,duffybo02,Bob Duffy,1963,1965,G,6-3,185,"September 26, 1940",Colgate University
1072,duhonch01,Chris Duhon,2005,2013,G,6-1,185,"August 31, 1982",Duke University
1073,dukandu01,Duje Dukan,2016,2016,F,6-9,220,"December 4, 1991",University of Wisconsin
1074,dukeswa01,Walter Dukes,1956,1963,C,7-0,220,"June 23, 1930",Seton Hall University
1075,dumarjo01,Joe Dumars,1986,1999,G,6-3,190,"May 24, 1963",McNeese State University
1076,dumasri01,Rich Dumas,1969,1969,G,6-3,170,,Northeastern State University
1077,dumasri02,Richard Dumas,1993,1996,F,6-7,200,"May 19, 1969",Oklahoma State University
1078,dumasto01,Tony Dumas,1995,1998,G,6-6,190,"August 25, 1972",University of Missouri-Kansas City
1079,duncaan01,Andy Duncan,1949,1951,F-C,6-6,195,"April 17, 1922",College of William & Mary
1080,duncati01,Tim Duncan,1998,2016,F-C,6-11,250,"April 25, 1976",Wake Forest University
1081,dunlemi01,Mike Dunleavy,1977,1990,G,6-3,180,"March 21, 1954",University of South Carolina
1082,dunlemi02,Mike Dunleavy,2003,2017,F-G,6-9,230,"September 15, 1980",Duke University
1083,dunnkr01,Kris Dunn,2017,2018,G,6-4,210,"March 18, 1994",Providence College
1084,dunnpa01,Pat Dunn,1958,1958,G,6-2,170,"March 17, 1931",Utah State University
1085,dunntr01,T.R. Dunn,1978,1991,G-F,6-4,192,"February 1, 1955",University of Alabama
1086,duprero01,Ronald Dupree,2004,2011,F,6-7,209,"January 26, 1981",Louisiana State University
